institution_id,institution_name,city,state,institution_type,
1,Aurora Institute of Technology,Hyderabad,Telangana,Private University,
2,National School of Business,Bengaluru,Karnataka,Private Institution,
3,Riverdale University,Chennai,Tamil Nadu,Private University,
4,Deccan Institute of Management,Pune,Maharashtra,Private Institution,
5,Eastern Tech University,Visakhapatnam,Andhra Pradesh,Private University,
6,Metro College of Engineering,Hyderabad,Telangana,Private College,
7,Summit University,Delhi,Delhi,Private University,
8,Greenfield Institute,Kochi,Kerala,Private Institution,
9,Pioneer Business School,Mumbai,Maharashtra,Private Institution,
10,Horizon University,Jaipur,Rajasthan,Private University,
11,Coastal School of Technology,Mangaluru,Karnataka,Private College,
12,Central Institute of Data Science,Hyderabad,Telangana,Private Institution,
